benchmark,size,governor,powersave_status,performance_status,powersave_latency_sec,performance_latency_sec,performance_vs_powersave_latency_pct,powersave_gpu_edp,performance_gpu_edp,performance_vs_powersave_gpu_edp_pct,valid_edp_pair,powersave_cpu_time_sec,performance_cpu_time_sec,performance_vs_powersave_cpu_time_pct
cfd-cuda,large,gpu_powersave,valid,valid,4.9874,4.79945,-3.768496611460881,103.89675778763501,108.12333688222,4.068056775384776,True,1.1292,1.10825,-1.8552957846262874
cfd-cuda,large,gpu_performance,valid,valid,1.6219000000000001,1.5888499999999999,-2.0377335224119997,13.633860107220002,13.684299855214999,0.36995940693482776,True,0.9964500000000001,0.9747,-2.182748758091224
fft-cuda,large,gpu_default,valid,valid,3.65265,3.6357,-0.46404665106155596,326.95423738481,328.09639361427503,0.3493321385282133,True,0.55795,0.5638000000000001,1.0484810466887984
fft-cuda,large,gpu_ondemand,valid,valid,3.7224,3.6358,-2.3264560498603037,330.724227924005,319.04241422514,-3.5321916910028284,True,0.57195,0.5702499999999999,-0.2972287787394112
fft-cuda,large,gpu_powersave,valid,valid,36.41335,29.99975,-17.6133203893627,7198.0495578481405,7236.956529416315,0.540521029419061,True,0.5681,0.5789500000000001,1.9098750220031713
fft-cuda,large,gpu_performance,valid,valid,3.6669,3.63575,-0.8494913960020778,338.185487595925,323.735087705755,-4.272921346475933,True,0.5632,0.56325,0.008877840909082835
gaussian-cuda,large,gpu_default,valid,valid,13.40125,13.33285,-0.510400149239798,6.7803051416799995,6.794203072155,0.20497500015990155,True,12.5369,12.592949999999998,0.4470802191929302
gaussian-cuda,large,gpu_ondemand,valid,valid,13.67075,13.3331,-2.4698718065943703,11.466850539555,11.870388240899999,3.519167708282156,True,12.4259,12.3965,-0.2366025800948135
gaussian-cuda,large,gpu_powersave,valid,valid,15.9312,14.99955,-5.847958722506785,64.16623823694,63.946741688660005,-0.3420748267484286,True,12.463550000000001,12.36225,-0.8127700374291558
gaussian-cuda,large,gpu_performance,valid,valid,13.292950000000001,11.9998,-9.72808894940551,12.876687307775,12.39923181328,-3.707906257898419,True,12.43455,12.387550000000001,-0.37797909856005507
gemmEx-cuda,large,gpu_default,instrumentation_limited,instrumentation_limited,28.56925,23.999850000000002,-15.994119551615803,,,,False,28.56925,28.67225,0.36052749022112973
gemmEx-cuda,large,gpu_ondemand,instrumentation_limited,instrumentation_limited,28.7409,23.99995,-16.495482048230926,,,,False,28.7409,28.81275,0.24999217143513164
gemmEx-cuda,large,gpu_powersave,censored_failure,censored_failure,0.0,120.0008,,,,,False,,,
gemmEx-cuda,large,gpu_performance,instrumentation_limited,instrumentation_limited,28.60565,23.99955,-16.102063753139685,,,,False,28.60565,28.58355,-0.07725746487146079
heartwall-cuda,large,gpu_default,valid,valid,0.4685,0.4699,0.2988260405549559,4.7414615625000005,4.72261041747,-0.3975808889624455,True,0.1254,0.1276,1.754385964912264
heartwall-cuda,large,gpu_ondemand,valid,valid,0.5032,0.5015,-0.33783783783783994,4.46184295947,4.542211760660001,1.8012467475894134,True,0.13465,0.1338,-0.6312662458224927
heartwall-cuda,large,gpu_powersave,valid,valid,3.94465,3.8704,-1.8822962747011784,86.80274792725501,85.80469947506,-1.1497890055639948,True,0.1325,0.13665,3.1320754716980925
heartwall-cuda,large,gpu_performance,valid,valid,0.46955,0.4662,-0.7134490469598576,4.930458030735,4.720373203019999,-4.260959659435182,True,0.1255,0.1243,-0.9561752988047845
hotspot-cuda,large,gpu_default,valid,valid,1.3878,1.3947,0.49718979680069,46.526609384000004,43.03099735626,-7.5131458621657154,True,0.54775,0.55355,1.058877225011412
hotspot-cuda,large,gpu_ondemand,valid,valid,1.4346,1.4279,-0.4670291370416968,47.20068436299999,47.05265617762,-0.3136144896577542,True,0.56125,0.5597000000000001,-0.2761692650333991
hotspot-cuda,large,gpu_powersave,valid,valid,8.999749999999999,8.57075,-4.7667990777521485,534.36476858074,549.92837462988,2.912543446768856,True,0.5759000000000001,0.5826,1.1633964229900817
hotspot-cuda,large,gpu_performance,valid,valid,1.4028,1.3947,-0.5774165953806643,48.574867991695,48.666528258795,0.1886989525440752,True,0.55545,0.5577000000000001,0.40507696462328546
hybridsort-cuda,large,gpu_default,valid,valid,10.31245,9.9995,-3.034681380273363,0.058353236365,0.05915099491999999,1.367119640134451,True,10.1421,10.20335,0.6039183206633769
hybridsort-cuda,large,gpu_ondemand,valid,valid,10.6729,9.9995,-6.309437922214212,0.4421717366,0.45233748918000005,2.299050739463304,True,10.2777,10.290849999999999,0.12794691419286686
hybridsort-cuda,large,gpu_powersave,valid,valid,10.57545,9.9994,-5.447049534535175,0.44000011151000007,0.43129999698,-1.9772982557079044,True,10.18355,10.288599999999999,1.0315656131702378
hybridsort-cuda,large,gpu_performance,valid,valid,10.35415,9.9994,-3.4261624565995352,0.10035807275999999,0.09811683292500001,-2.2332431994382396,True,10.18385,10.20815,0.23861309818977716
ising-cuda,large,gpu_default,valid,valid,9.32075,9.2303,-0.9704154708580326,4354.534245322269,4379.662400702459,0.577057245724566,True,0.6269,0.6279,0.15951507417450994
ising-cuda,large,gpu_ondemand,valid,valid,9.34585,9.23035,-1.2358426467362627,4592.132237960181,4772.124422122675,3.91957754775909,True,0.63625,0.63795,0.267190569744602
ising-cuda,large,gpu_powersave,valid,valid,43.0036,40.000150000000005,-6.984182719586252,14959.679328634138,15013.157799513243,0.35748407238076485,True,0.6373,0.6409499999999999,0.5727286991997316
ising-cuda,large,gpu_performance,valid,valid,9.27245,9.2302,-0.45565087975668606,4721.576345030399,4633.952037005705,-1.855827410625721,True,0.6302,0.6264000000000001,-0.602983179942862
kmeans-cuda,large,gpu_default,valid,valid,2.8467000000000002,2.7901,-1.9882671163101273,186.09416885754501,185.63488363487997,-0.2468025868218482,True,1.09125,1.0924,0.10538373424970882
kmeans-cuda,large,gpu_ondemand,valid,valid,3.5802,3.5289,-1.4328808446455454,222.966048161,226.65937499974999,1.6564525716862066,True,1.08515,1.091,0.5390959775146253
kmeans-cuda,large,gpu_powersave,valid,valid,18.642249999999997,17.142650000000003,-8.044093390014584,2312.0719895677557,2289.6863627813195,-0.968206305315833,True,1.0669,1.06875,0.1733995688443235
kmeans-cuda,large,gpu_performance,valid,valid,2.86885,2.7901,-2.7450023528591716,203.29794346289003,197.21845104868004,-2.990434782887874,True,1.1099,1.1031,-0.6126678079106385
lavaMD-cuda,large,gpu_default,valid,valid,35.8559,29.9997,-16.332597982479868,194.165394892495,189.86992037672997,-2.212276043392458,True,31.24435,30.8906,-1.13220470261024
lavaMD-cuda,large,gpu_ondemand,valid,valid,35.783,29.999850000000002,-16.161724841405135,187.85950619168,186.57535584906003,-0.6835695295130284,True,30.98565,31.1372,0.4890973724934078
lavaMD-cuda,large,gpu_powersave,valid,valid,73.428,60.0005,-18.286620907555694,10203.68025628113,10284.5164580275,0.7922259392302067,True,31.3338,30.84885,-1.5476897152595592
lavaMD-cuda,large,gpu_performance,valid,valid,35.74265,29.999850000000002,-16.067079525440885,309.161989982425,307.43911707750004,-0.5572719029991013,True,31.143,31.25995,0.37552580034037053
leukocyte-cuda,large,gpu_default,valid,valid,1.009,1.00725,-0.1734390485629289,3.7582769385,3.76170918498,0.09132500175386138,True,0.60865,0.6086,-0.008214901831926635
leukocyte-cuda,large,gpu_ondemand,valid,valid,1.4639,1.4626,-0.08880388004646189,8.723830207595,8.933915348469998,2.4081754903035213,True,0.62595,0.6266,0.10384215991692258
leukocyte-cuda,large,gpu_powersave,valid,valid,5.2336,5.2168,-0.3210027514521485,119.49627761816501,118.67847530664001,-0.6843747167909142,True,0.6234,0.6293500000000001,0.9544433750401149
leukocyte-cuda,large,gpu_performance,valid,valid,1.00735,1.0072,-0.014890554424962232,3.9634127224199998,3.88576920563,-1.959006599307478,True,0.6086,0.6091500000000001,0.09037134406835179
lud-cuda,large,gpu_default,valid,valid,3.9888000000000003,3.9994,0.26574408343360556,341.86334586902,340.46489236423497,-0.40906798628269625,True,0.58135,0.6033999999999999,3.7928958458759654
lud-cuda,large,gpu_ondemand,valid,valid,4.02725,3.99945,-0.6902973493078557,399.051218007075,397.86363977224005,-0.29760045358736553,True,0.5891500000000001,0.5959,1.1457184078757399
lud-cuda,large,gpu_powersave,valid,valid,7.50215,7.4993,-0.037989109788538755,385.17382763575,396.92302657004,3.0503627430784164,True,0.6003499999999999,0.61255,2.0321479137170195
lud-cuda,large,gpu_performance,valid,valid,3.999,3.8703,-3.2183045761440376,410.26156749678,407.68183081353004,-0.6288029120032568,True,0.5879,0.597,1.5478822929069658
lulesh-cuda,large,gpu_default,valid,valid,7.365399999999999,7.0583,-4.169495207320706,286.277280790185,289.939955616205,1.279415123655725,True,2.0482500000000003,2.03815,-0.4931038691566192
lulesh-cuda,large,gpu_ondemand,valid,valid,8.66055,7.9996,-7.631732395748547,328.73631646540497,334.35748906325,1.7099335596031162,True,2.044,2.0391500000000002,-0.23727984344421582
lulesh-cuda,large,gpu_powersave,valid,valid,31.026850000000003,30.0003,-3.3085859505557424,4045.0099590758246,4029.3852158180853,-0.38627205905097384,True,2.0218999999999996,2.0220000000000002,0.004945843018977492
lulesh-cuda,large,gpu_performance,valid,valid,7.36375,7.0582,-4.149380410796121,331.628259969405,322.41328850982006,-2.7787051261659923,True,2.0614999999999997,2.0131,-2.3478049963618464
memcpy-cuda,large,gpu_default,instrumentation_limited,instrumentation_limited,13.2288,13.3327,0.7854075955491036,,,,False,13.2288,13.58435,2.687696540880502
memcpy-cuda,large,gpu_ondemand,instrumentation_limited,instrumentation_limited,17.4009,17.1426,-1.48440597900108,,,,False,17.4009,17.4657,0.3723945313173438
memcpy-cuda,large,gpu_powersave,instrumentation_limited,instrumentation_limited,24.75245,23.9996,-3.041517102347435,,,,False,24.75245,24.7705,0.07292207438052145
memcpy-cuda,large,gpu_performance,instrumentation_limited,instrumentation_limited,13.19975,13.33295,1.0091100210231296,,,,False,13.19975,13.61025,3.109907384609567
mixbench-cuda,large,gpu_default,valid,valid,17.6907,17.14235,-3.099651229176903,11370.68396090725,11399.788901046442,0.2559647268295828,True,0.154,0.158,2.5974025974025983
mixbench-cuda,large,gpu_ondemand,valid,valid,17.74845,17.14255,-3.413819234919091,11038.965482702937,11424.087857564075,3.488754226694435,True,0.16294999999999998,0.16849999999999998,3.405952746241181
mixbench-cuda,large,gpu_powersave,censored_failure,censored_failure,0.0,120.0016,,,,,False,,,
mixbench-cuda,large,gpu_performance,valid,valid,17.81095,17.1424,-3.7535897860585754,11827.769340419749,11465.344692432476,-3.064184273096504,True,0.15535,0.15255000000000002,-1.802381718699686
myocyte-cuda,large,gpu_default,valid,valid,30.92355,30.0,-2.9865587877200395,9343.867303827166,9401.282316689125,0.6144673398609024,True,3.01975,3.03695,0.5695835747992373
myocyte-cuda,large,gpu_ondemand,valid,valid,44.430099999999996,39.999849999999995,-9.971280730855892,12989.078094241178,13107.463012814002,0.9114189453161448,True,3.3282499999999997,3.33535,0.21332532111471014
myocyte-cuda,large,gpu_powersave,censored_failure,censored_failure,0.0,120.00184999999999,,,,,False,,,
myocyte-cuda,large,gpu_performance,valid,valid,30.95535,29.99995,-3.0863808679275184,9478.515920249141,9252.643372124436,-2.3829948699265247,True,3.03235,3.0241,-0.27206621926889607
nbody-cuda,large,gpu_default,valid,valid,9.58555,9.2302,-3.7071425218166865,8597.456522815599,8582.11420844718,-0.17845178196254086,True,0.12005,0.1261,5.0395668471470145
nbody-cuda,large,gpu_ondemand,valid,valid,9.65715,9.2303,-4.4200411094370455,8578.61049393334,8574.651515990055,-0.04614940783340682,True,0.13055,0.1335,2.2596706242818954
nbody-cuda,large,gpu_powersave,valid,valid,102.09225,60.000600000000006,-41.22903550465388,77826.55649938656,78349.53250813365,0.6719762922457129,True,0.11695,0.1292,10.47456177853785
nbody-cuda,large,gpu_performance,valid,valid,9.59365,9.2304,-3.7863586851719755,8607.025683949236,8598.404169663623,-0.10016833459310925,True,0.1197,0.1215,1.5037593984962294
nn-cuda,large,gpu_default,valid,valid,3.3735,3.3327,-1.2094264117385456,76.595833493725,76.50562986231,-0.11776571557561288,True,1.43485,1.44045,0.3902846987489994
nn-cuda,large,gpu_ondemand,valid,valid,3.80335,3.7494,-1.418486334415714,73.91038426634,75.95451299972001,2.7656854360462724,True,1.2688000000000001,1.2667,-0.16551071878941892
nn-cuda,large,gpu_powersave,valid,valid,8.09355,7.9994,-1.1632719881881304,259.21173045373996,255.57534457118,-1.4028631637135414,True,1.2508,1.2521499999999999,0.10793092420851025
nn-cuda,large,gpu_performance,valid,valid,3.37355,3.3327,-1.2108906048524548,77.70901960274999,77.75376625458,0.057582314200788076,True,1.4357,1.4336,-0.14627011214042307
nw-cuda,large,gpu_default,valid,valid,14.85205,13.3329,-10.22855430731784,1.4679907075400003,1.482226705825,0.9697607901657523,True,11.63375,11.4946,-1.196088965294928
nw-cuda,large,gpu_ondemand,valid,valid,14.85405,14.16635,-4.629713781763234,0.86496937587,0.9253753131150001,6.983592590690613,True,11.39055,11.5613,1.4990496508070272
nw-cuda,large,gpu_powersave,valid,valid,16.1191,14.9995,-6.945797221929261,13.27281523637,13.077949470220002,-1.4681570012067269,True,11.3224,11.6313,2.7282201653359595
nw-cuda,large,gpu_performance,valid,valid,14.79325,13.33285,-9.87207003194024,2.2486473252,2.1270935782000002,-5.405638564917615,True,11.54035,11.51125,-0.25215873002117917
particlefilter-cuda,large,gpu_default,valid,valid,4.352650000000001,4.28515,-1.5507794102443517,1173.91654658181,1217.357709608325,3.7005324742211076,True,0.13635,0.1417,3.9237257059039132
particlefilter-cuda,large,gpu_ondemand,valid,valid,4.33955,4.28515,-1.2535862013342447,1344.5850915734852,1345.4906948509602,0.06735187554511857,True,0.14175,0.14750000000000002,4.056437389770751
particlefilter-cuda,large,gpu_powersave,valid,valid,44.2757,39.9999,-9.65721603498082,12979.62381548345,13301.37846810843,2.4789212476339806,True,0.14,0.14305,2.1785714285714297
particlefilter-cuda,large,gpu_performance,valid,valid,4.30975,4.2851,-0.5719589303323946,1338.8587899305248,1346.8772066851202,0.598899362270422,True,0.1398,0.13945000000000002,-0.2503576537911223
pathfinder-cuda,large,gpu_default,valid,valid,15.92485,14.9996,-5.810101821995184,62.73423876224999,62.698235522785,-0.057390095385445594,True,13.70105,13.7661,0.47478112991339305
pathfinder-cuda,large,gpu_ondemand,valid,valid,16.406399999999998,14.9997,-8.574093036863651,85.580536072795,85.49073304973001,-0.10493393379611415,True,13.69835,13.7519,0.39092299437524236
pathfinder-cuda,large,gpu_powersave,valid,valid,37.119550000000004,29.9998,-19.1805935147382,3218.5172484121354,3180.7175636931447,-1.1744440623283614,True,13.63275,13.6335,0.005501457886336603
pathfinder-cuda,large,gpu_performance,valid,valid,15.949950000000001,14.9995,-5.958952849381982,104.414824606365,98.982831988925,-5.202319342984252,True,13.70685,13.689599999999999,-0.12584948401711538
srad-cuda,large,gpu_default,valid,valid,12.655850000000001,11.9995,-5.186139216251783,2543.6484155347653,2489.931668057355,-2.111799223090227,True,3.0616,3.0970500000000003,1.1578912986673684
srad-cuda,large,gpu_ondemand,valid,valid,13.0789,11.99955,-8.25260534142781,3022.0381345163896,3041.6153183134643,0.6478139231094637,True,3.1086,3.1113999999999997,0.090072701537669
srad-cuda,large,gpu_powersave,valid,valid,29.8576,24.0002,-19.617785756390337,5381.149246273685,5484.6959468929,1.924248815267826,True,3.091,3.1236,1.0546748625040347
srad-cuda,large,gpu_performance,valid,valid,12.71215,11.99955,-5.605660726155692,3114.27897841323,3076.1684378601653,-1.2237356003501842,True,3.1061,3.1033,-0.09014519815846445
stencil1d-cuda,large,gpu_default,valid,valid,9.4499,9.23025,-2.3243632207748166,2485.8245014073354,2495.2805967870554,0.38040076338319295,True,0.57515,0.58365,1.4778753368686282
stencil1d-cuda,large,gpu_ondemand,valid,valid,9.49255,9.2303,-2.7626928486023217,2929.3499927619996,2890.9714327266,-1.3101391138043317,True,0.59205,0.59825,1.0472088506038313
stencil1d-cuda,large,gpu_powersave,valid,valid,38.67745,30.0,-22.435424258838164,9936.13380813905,9889.776665877576,-0.4665511068651318,True,0.5904499999999999,0.61105,3.4888644254382317
stencil1d-cuda,large,gpu_performance,valid,valid,9.48185,9.2302,-2.654017939537112,3037.740536544995,2920.23082910242,-3.8683260149737997,True,0.58475,0.5852999999999999,0.09405728943991942
stencil3d-cuda,large,gpu_default,valid,valid,9.6584,9.2303,-4.4324111654104215,308.9297529277,314.60376657192,1.8366679125101593,True,4.83065,4.77215,-1.2110171509010281
stencil3d-cuda,large,gpu_ondemand,valid,valid,9.97095,9.99955,0.28683325059295495,310.12883429102,306.77377570689,-1.0818273611352347,True,4.822900000000001,4.85635,0.6935661116755254
stencil3d-cuda,large,gpu_powersave,valid,valid,27.153599999999997,23.99995,-11.614113782334567,2680.21229232522,2662.3946575415803,-0.664784458852774,True,4.8162,4.8213,0.10589261243303394
stencil3d-cuda,large,gpu_performance,valid,valid,9.6878,9.2301,-4.7244988542290205,397.74736792957503,379.89093308537497,-4.489391076840943,True,4.794449999999999,4.7330000000000005,-1.2816902877284986
streamcluster-cuda,large,gpu_default,valid,valid,5.174799999999999,5.21675,0.8106593491536085,2.8290653649,3.29111350826,16.33218338086482,True,4.26185,4.39685,3.1676384668629876
streamcluster-cuda,large,gpu_ondemand,valid,valid,6.305300000000001,5.9996,-4.848302221940282,2.428070948505,2.46416168783,1.486395582765887,True,4.97035,4.917949999999999,-1.0542517126560624
streamcluster-cuda,large,gpu_powersave,valid,valid,6.0464,5.9995,-0.7756681661815312,2.373036874115,2.4216515722449996,2.0486280116540634,True,4.711650000000001,4.69205,-0.4159901520698783
streamcluster-cuda,large,gpu_performance,valid,valid,5.2105,5.2162500000000005,0.11035409269746221,4.158513158595,4.109314251975,-1.1830888768095793,True,4.2778,4.35165,1.7263546682874331
triad-cuda,large,gpu_default,valid,valid,0.607,0.6054,-0.2635914332784095,0.08540264554499999,0.08580070016,0.4660916678398186,True,0.53825,0.53885,0.1114723641430615
triad-cuda,large,gpu_ondemand,valid,valid,0.66995,0.66975,-0.029852974102562158,0.06439795385,0.069372092115,7.724062594575765,True,0.60135,0.60195,0.09977550511348632
triad-cuda,large,gpu_powersave,valid,valid,1.4468999999999999,1.4365,-0.7187780772686225,0.101145319105,0.1009886747,-0.15487064194971145,True,1.3123,1.3106,-0.12954354949326063
triad-cuda,large,gpu_performance,valid,valid,0.61005,0.6085,-0.2540775346282942,0.0956746755,0.09213974060999999,-3.694744582645604,True,0.5411,0.5402,-0.16632785067455247
